num_steps,episode_reward,episode_reward_std,mean_reward_per_step,std_reward_per_step,avg_episode_length,policy_std_mean,policy_std_min,policy_std_max,entropy_loss,kl_mean,total_loss,policy_loss,v_loss
0,23.027943657557895,1.774016464627107,0.02313694033742875,0.0017824133022933798,995.2890625,,,,,,,,
6553600,23.84208327800809,1.6099612774458185,0.023988073192201254,0.0016198193970575988,993.9140625,0.12192348162927885,0.02792666444957875,0.4194888884409478,0.07966948036709755,0.036550924296017376,0.07914969615857634,-0.0005387526918366813,1.8968483315460416e-05
13107200,24.33239015335049,0.2336176644205995,0.02433239015335049,0.0002336176644205995,1000.0,0.09627904533123882,0.021917461865578514,0.40031519574591057,0.09798193586562602,0.04051697056808524,0.10078755419937853,0.0027949517298720182,1.0666603880480286e-05
19660800,24.443743420438437,0.12304572309431847,0.024443743420438438,0.00012304572309431846,1000.0,0.08699359926052042,0.019945385626131254,0.4590128292564495,0.10597951932791425,0.05758520911667908,0.11411650827124242,0.00812802369672792,8.965246600255378e-06
26214400,24.494803314038286,0.1224226499655972,0.024494803314038287,0.0001224226499655972,1000.0,0.0801776581274928,0.018991459548701697,0.3907710378627475,0.11193162827263789,0.04822557059615841,0.11760854613211011,0.005671148390651609,5.769468820610434e-06
32768000,24.416990424986956,0.9505469579289216,0.02446266681067251,0.000952325127502931,998.1328125,0.07536582908463854,0.0183959132853532,0.33103630772856907,0.11655491893383915,0.05249506233353779,0.12295946918539397,0.006399227994923574,5.3222566312289265e-06
39321600,24.505836893251,0.11721632768988882,0.024505836893251,0.00011721632768988883,1000.0,0.07656573689573237,0.016937403783261203,0.41548321213947337,0.11606996957299351,0.04158274381692203,0.12021823822303565,0.00414091183981082,7.356810231326643e-06
45875200,24.526409784987486,0.1139714788864851,0.024526409784987487,0.0001139714788864851,1000.0,0.07078437751386725,0.016698887239703857,0.36612962751520256,0.12145213057922125,0.05260575746428419,0.12923880592462617,0.007780941730712969,5.733614691976633e-06
52428800,24.507258971627593,0.12251337517203721,0.02450725897162759,0.00012251337517203722,1000.0,0.07536307862654112,0.01732135309729704,0.7798293200094017,0.11748334039263385,0.04392437066505936,0.12712958870619112,0.009038739202163313,0.0006075091113939531
58982400,24.435818325484263,0.1563558968065312,0.024435818325484263,0.0001563558968065312,1000.0,0.07999762872261221,0.015488520965123691,0.4296878786991859,0.11321155127191715,0.03094596941369215,0.11419244764293862,0.0009683848167740412,1.2511554247417627e-05
