num_steps,episode_reward,episode_reward_std,mean_reward_per_step,std_reward_per_step,avg_episode_length,policy_std_mean,policy_std_min,policy_std_max,entropy_loss,kl_mean,total_loss,policy_loss,v_loss
0,-3.6639370460198397,2.651492913245511e-15,-0.09902532556810377,7.166197062825705e-17,37.0,,,,,,,,
6553600,13.680822769974988,3.784541690934187e-15,0.013680822769974987,3.784541690934187e-18,1000.0,0.17110581245153225,0.04512627617462483,0.3713758500396313,0.054225024114300364,0.044277219503432996,0.0461417181279937,-0.008088797468308467,5.491482001808739e-06
13107200,13.785433805330833,0.013448526141365191,0.013785433805330833,1.344852614136519e-05,1000.0,0.06540570133582113,0.01634561550423711,0.5895025594108116,0.12808118039826016,0.07240957556170169,0.14495855109746186,0.01687261001662894,4.760682572725487e-06
19660800,14.527204487532808,1.2951051332658947e-07,0.014527204487532808,1.2951051332658947e-10,1000.0,0.04233016027078164,0.010797401960653149,0.299016721680371,0.16000178434309975,0.05728076900331562,0.17543532408985502,0.01543314927237216,3.904743830694541e-07
26214400,14.426083526907913,8.535491470672678e-09,0.014426083526907912,8.535491470672679e-12,1000.0,0.09666126305992304,0.025108048787655324,0.38230662894968775,0.09304455782567243,0.03446580464794713,0.08550571442280544,-0.007541444165393938,2.6007625269490885e-06
32768000,14.575822111396722,0.001287362089885028,0.014575822111396722,1.287362089885028e-06,1000.0,0.04744099786048142,0.01309946283810807,0.19322933675114512,0.1478844135374136,0.04896640834680285,0.15815858232722016,0.010273801745842097,3.670439644236668e-07
39321600,14.591941266049805,0.0006134306671734638,0.014591941266049804,6.134306671734638e-07,1000.0,0.030679512451075357,0.008166183007681689,0.13983930201304434,0.1831367176940747,0.0648470145004009,0.20255767756787946,0.01942086186055102,9.801325373180691e-08
45875200,14.601414003031373,0.00024114370520032522,0.014601414003031372,2.4114370520032524e-07,1000.0,0.023626141852271264,0.0065953172740575265,0.091622771029824,0.20329420767221246,0.07772019223878363,0.22652719953922326,0.023232945052947426,4.681406337045211e-08
52428800,14.615612459130551,0.0006810127459535339,0.014615612459130551,6.810127459535339e-07,1000.0,0.018296920632960217,0.005087764147793343,0.06471499928601004,0.22384708432204664,0.381630163105945,0.27344820531623154,0.049601091724275154,2.9269909728110677e-08
58982400,14.630575124351626,0.0006184312330794513,0.014630575124351626,6.184312330794513e-07,1000.0,0.018469148243351018,0.005108570361788072,0.07073504359501291,0.22299322907365576,1.2722060586987172,0.26430087352829157,0.04130759071529612,5.373933964328259e-08
