num_steps,episode_reward,episode_reward_std,mean_reward_per_step,std_reward_per_step,avg_episode_length,policy_std_mean,policy_std_min,policy_std_max,entropy_loss,kl_mean,total_loss,policy_loss,v_loss
0,-3.6495279803982292,0.06762404675702417,-0.0986358913621143,0.0018276769393790317,37.0,,,,,,,,
11468800,11.993732270444617,2.7464965782913877,0.012317845582329666,0.0028207166860942426,973.6875,0.16334597095717918,0.0363708943501251,0.59768493127524,0.061653802328285164,0.0430642251899992,0.06414423153278637,0.0023888502377348545,0.00010157896676633822
22937600,13.47221316606385,0.4541141614906325,0.01347221316606385,0.0004541141614906325,1000.0,0.13741458545767193,0.03047669670005247,1.3412982655485135,0.07502818186248872,0.04630583622574123,0.07728890011682538,0.0019189497450233797,0.00034176850931327965
34406400,13.441730490302502,0.6486470136884334,0.013441730490302502,0.0006486470136884333,1000.0,0.15643942860398952,0.0337092196720727,4.030365907719514,0.07001194562179375,0.04523991502948616,0.07017048295528758,-0.0008149253974662759,0.0009734627309600973
45875200,13.59614772831761,0.5900124244308053,0.01359614772831761,0.0005900124244308053,1000.0,0.18126969545088523,0.034180387159485584,4.125795495939575,0.06200137413243516,0.039511112823379074,0.05903092360380481,-0.0041627221309780554,0.0011922716023477047
57344000,13.88607346183817,0.4018934598122214,0.013886073461838169,0.0004018934598122214,1000.0,0.17330688906703734,0.030997441310079175,4.489992352216428,0.0692511580779447,0.04343602112085711,0.06767379663399821,-0.0026962595703086995,0.0011188981263622229
68812800,13.694763081849466,0.8907283001172391,0.013695512055164982,0.0008907770144852188,999.9453125,0.21217148939518804,0.03729795112303371,5.443469014856842,0.06177243608377212,0.038349429901038366,0.058472962123225405,-0.00496496968876714,0.0016654957282204164
80281600,14.129532362090153,0.35033820602868143,0.014129532362090153,0.0003503382060286814,1000.0,0.17726659947674267,0.03034177913299315,4.735892112285424,0.07505223202548104,0.04868895051540643,0.07358685091327635,-0.0029834323452358055,0.0015180512330311138
91750400,14.264701433593508,0.2684625083599706,0.014264701433593508,0.0002684625083599706,1000.0,0.1822641437479298,0.03010663574129565,5.227851779711163,0.0697122590260806,0.04303802219639494,0.06732835001956766,-0.0037035961053280986,0.0013196870988151609
103219200,14.181686335261261,0.846055429329448,0.014190999178472134,0.0008466110178098858,999.34375,0.2071995323744101,0.033199963330047384,5.916435953357096,0.06317529882417364,0.042731350764169895,0.05827746575406363,-0.006205433190191048,0.0013076001200810405
