num_steps,episode_reward,episode_reward_std,mean_reward_per_step,std_reward_per_step,avg_episode_length,policy_std_mean,policy_std_min,policy_std_max,entropy_loss,kl_mean,total_loss,policy_loss,v_loss
0,-2.878179330694601,0.12521730725042898,-0.07616434863115752,0.003313585968173436,37.7890625,,,,,,,,
6553600,3.5695354116888107,3.2534364100140456,0.015378678313570104,0.014016824654385656,232.109375,0.4917310803985114,0.1882748981854528,1.3512711648226852,-0.01709523250217772,0.027617713087004402,-0.03374351227032492,-0.018739580690263893,0.0020913009221166985
13107200,20.528315658825413,4.272911476587418,0.021293897829216462,0.004432265263644383,964.046875,0.2816233773363632,0.07902280180500684,0.6469877559515593,0.016622442642450955,0.032887293691827815,0.006442781383001651,-0.010279176243062071,9.951498361276831e-05
19660800,20.352749599679555,3.386497674117868,0.02040455804784792,0.003395118091146169,997.4609375,0.17831200521939394,0.042627904027371405,0.6565648368685549,0.05013294115231457,0.03708542451235792,0.05064763268193601,0.0004767412672952759,3.795026232616799e-05
26214400,22.839610396816553,1.6720977413657052,0.022904566315351496,0.0016768531922155038,997.1640625,0.1393419736777853,0.03258725123714158,0.8017545114306789,0.06824888566996024,0.04329826866113312,0.0727203005572131,0.004443319613759442,2.809527349340708e-05
32768000,23.84500705836878,1.0113572275714695,0.02388568736967025,0.0010130826339323855,998.296875,0.11549076511816417,0.028196214539880898,0.662958439039541,0.08179476077154829,0.049246769490146516,0.08747614386421455,0.005666185108979402,1.5197983686851324e-05
39321600,23.803788268563334,1.0398207250448617,0.02381495152709166,0.0010403083695931085,999.53125,0.10207188417573895,0.025249528136215647,0.5296851441191042,0.09116856033392487,0.05303369646925398,0.09890341683300832,0.007720719019281135,1.413747980232023e-05
45875200,24.00332278837093,0.3963071720193661,0.02400332278837093,0.00039630717201936613,1000.0,0.09988814645288284,0.025171663458254355,0.5285392927479302,0.09302269039549207,0.047628696084696595,0.0986257890664588,0.005589057791807959,1.404087915877624e-05
52428800,24.190670878450387,0.2105272966615223,0.024190670878450386,0.00021052729666152232,1000.0,0.09125209947578639,0.023347776503878127,0.45044335889227616,0.09939022282568803,0.05171381691960356,0.10586234421811085,0.006462975314299237,9.146078123580218e-06
58982400,24.24012685943992,0.22358323591495707,0.02424012685943992,0.00022358323591495707,1000.0,0.08670923273941347,0.022154733107260086,0.46427734496426987,0.10277110311488531,0.06022164683039038,0.11220498067304892,0.009424773678063825,9.103880099785673e-06
