num_steps,episode_reward,episode_reward_std,mean_reward_per_step,std_reward_per_step,avg_episode_length,policy_std_mean,policy_std_min,policy_std_max,entropy_loss,kl_mean,total_loss,policy_loss,v_loss
0,-5.015415160618772,2.95364062401291,-0.05877798393693488,0.0346150888000048,85.328125,,,,,,,,
3276800,-0.9747019660491303,0.1064694858262243,-0.01284218750944814,0.0014027889022909636,75.8984375,0.4438188677323677,0.16627597963665416,2.2928152984298085,-0.023146477814341333,8.515406401885997,-0.040499153363858884,-0.01869611037438136,0.0013434348248638087
6553600,12.237697437497333,0.9801215958395384,0.012237697437497334,0.0009801215958395383,1000.0,0.2640717622670064,0.09569574156910685,0.4750805556520004,0.008406390240959249,0.03126083708753306,-0.002570345980769717,-0.011273983822502774,0.0002972476007738064
9830400,12.86610676529059,0.6644090677950171,0.01286610676529059,0.000664409067795017,1000.0,0.17277254126084343,0.050930449473063924,0.4109827887832067,0.04055165052423769,0.03963534233414248,0.0398291306787253,-0.0008510695253134068,0.0001285496798010199
13107200,13.076172158046383,0.6510314415203674,0.013076172158046382,0.0006510314415203674,1000.0,0.13690054955686887,0.039382715900593696,0.3869992763788605,0.058321076001232194,0.04219577300797267,0.060162820559915994,0.0017817298211445251,6.001473753927535e-05
16384000,13.417810948414413,0.42731523177379777,0.013417810948414413,0.00042731523177379774,1000.0,0.11050235195390365,0.029919826377794535,0.3992400346629362,0.07498499603893514,0.04896354597584506,0.07887886438864529,0.003855490199510408,3.837815019974058e-05
19660800,12.8945744408764,0.7455911191910508,0.0128945744408764,0.0007455911191910508,1000.0,0.09478158683293027,0.02788070807688143,0.2685947482046752,0.08546218783536201,0.037378776475264615,0.08544320102454109,-9.637008017131426e-05,7.73832693503751e-05
22937600,12.517750722812206,2.462341924742961,0.012582037068458863,0.002474987564329457,994.890625,0.09667594381292212,0.029054295788918393,0.9475460589163921,0.08341408828063883,2392.8430083937737,0.09054379853867076,0.006031292122285542,0.0010984181357463838
26214400,11.186668314582375,4.729974584003034,0.011332485530747541,0.004791629377635579,987.1328125,0.09424969182197514,0.028081875035704425,0.3098817597605524,0.08561520865342484,0.036030720329809335,0.086675219160052,0.0009776215075287156,8.238899909844078e-05
29491200,12.632816675766172,2.160149728336992,0.012702382065044267,0.0021720450689096927,994.5234375,0.09761259851236993,0.027886567644475613,0.3817373700616861,0.08265224430747625,0.03985122312376059,0.0825155689104593,-0.00020804841854178672,7.137302152482951e-05
