num_steps,episode_reward,episode_reward_std,mean_reward_per_step,std_reward_per_step,avg_episode_length,policy_std_mean,policy_std_min,policy_std_max,entropy_loss,kl_mean,total_loss,policy_loss,v_loss
0,-3.6614161648376573,0.06410397169205594,-0.098957193644261,0.0017325397754609712,37.0,,,,,,,,
3276800,1.9658268555553633,2.9285098434486114,0.0034012224423985416,0.005066831483237889,577.9765625,0.4706115331485153,0.1688378168776702,1.2380994003698538,-0.017609992962821487,0.03294156580593066,-0.03893163156033382,-0.02237665980287966,0.0010550212053673166
6553600,8.725759542875224,6.0854295896053365,0.009289285328631668,0.006478437954584631,939.3359375,0.27916898931489,0.07409361384953829,0.6842376922567388,0.017898697639154627,0.04066397940866232,0.005238049749393057,-0.012754111622868916,9.346373310734578e-05
9830400,13.657726436545241,0.8630495896629378,0.013657726436545241,0.0008630495896629378,1000.0,0.16200356133327926,0.037701673804370395,0.6302640320212295,0.058138687257797125,0.04474016704059809,0.05715697966370217,-0.001018535686408952,3.682809231400309e-05
13107200,14.032953178131198,0.6892089619078308,0.014032953178131198,0.0006892089619078308,1000.0,0.11302677919733636,0.02772008456857001,0.5200200115514537,0.08479688453461565,0.05405270189456891,0.09116610159478633,0.006345028641240695,2.4188418929994633e-05
16384000,13.985954273907996,0.9577328926434757,0.013990982283166009,0.0009580772016378143,999.640625,0.09529088332379573,0.02462035481235362,0.4292352207084569,0.09602760237120812,0.06032792897036622,0.10635178163338438,0.01027947927579101,4.4699986385242284e-05
19660800,13.94275618154806,1.0216323292279004,0.013962172327440906,0.0010230550151082854,998.609375,0.08868527969962622,0.023295833777056955,0.3694657672459798,0.1002534487934742,0.05464605853307426,0.1078468881109062,0.007561804294063446,3.1635023368564954e-05
22937600,14.172321448864523,0.263629633832419,0.014172321448864522,0.000263629633832419,1000.0,0.08480921238986805,0.02271525687826526,0.3394224579670456,0.10340059085373762,0.05420504141115806,0.11034463105865247,0.0069201190889798675,2.392111593497671e-05
26214400,14.227784507087058,0.18724786832635135,0.014227784507087058,0.00018724786832635134,1000.0,0.08420635711029997,0.021078541429444247,0.4732374643907233,0.10439602555860962,0.04823179178708007,0.11188142829896514,0.007450436276994323,3.4966463361204044e-05
29491200,14.224945287156306,0.1753789122305898,0.014224945287156305,0.0001753789122305898,1000.0,0.08345478036543831,0.020761574038220987,0.5057711546495858,0.10513473695242784,0.05029044955183301,0.11099365182901452,0.005834376621431659,2.453825515503413e-05
